name,coalition,num,party_1,party_2,start,finish
Aguiñaga Vallejo Marcela Paola,Revolución Ciudadana,1,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Aleaga Santos Ronny Xavier,Revolución Ciudadana,29,PAIS,FCS,13 de noviembre de 2018,14 de mayo de 2021
Almeyda Jalil Vicente Fernando,Cambio Positivo,127,PSC - MG,PSC,14 de diciembre de 2018,14 de mayo de 2021
Arias Ramírez Alberto Jesús,PAIS,5,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Asán Wonsang José Francisco,Cambio Positivo,127,PSC - MG,PSC,14 de mayo de 2017,12 de diciembre de 2018
Brito Mendoza Mónica Cristina,Revolución Ciudadana,62,PAIS,FCS,8 de diciembre de 2020,14 de mayo de 2021
Campoverde González Raúl Freddy Bolívar,Cambio Positivo,97,PSC - MG,PSC,17 de diciembre de 2018,14 de mayo de 2021
Cucalón Camacho Henry Eduardo,Cambio Positivo,78,PSC - MG,PSC,14 de mayo de 2017,14 de mayo de 2021
Cuesta Ríos Liuba Elisa,PAIS,25,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Doumet Chedraui Michel Andrés,PAIS,27,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Espín Reyes Eugenia Sofía,Revolución Ciudadana,29,PAIS,FCS,14 de mayo de 2017,13 de noviembre de 2018
Gómez Alcívar Roberto Andrés,Sin bancada,105,CREO - SUMA,Ind.,14 de mayo de 2017,14 de mayo de 2021
Guevara Villacres Verónica Margarita,Revolución Ciudadana,36,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Minchala Murillo Rómulo Marcelo,Unidad por el Cambio,116,CREO - SUMA,CREO,14 de mayo de 2017,12 de diciembre de 2018
Montaño Guisamano Mayra Migdonia,Cambio Positivo,97,PSC - MG,PSC,14 de mayo de 2017,17 de diciembre de 2018
Passailaigue Manosalvas Dallyana Marianela,Cambio Positivo,98,PSC - MG,PSC,14 de mayo de 2017,14 de mayo de 2021
Quiñónez Ocampo Julio César,PAIS,53,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Rohón Hervas César Eduardo,Cambio Positivo,110,PSC - MG,PSC,14 de mayo de 2017,14 de mayo de 2021
Salazar Cedeño Guadalupe Dolores,PAIS,56,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Tacle García Samia,Cambio Positivo,111,PSC - MG,PSC,30 de julio de 2020,14 de mayo de 2021
Taiano Basante Vicente Giovanny,Cambio Positivo,111,PSC - MG,PSC,14 de mayo de 2017,30 de julio de 2020
Ugarte Guzmán Blanca Rosana,Unidad por el Cambio,127,PSC - MG,CREO,14 de mayo de 2017,14 de diciembre de 2018
Valle Pinargote Bairon Leonardo,Revolución Ciudadana,62,PAIS,FCS,14 de mayo de 2017,8 de diciembre de 2020
Vera Calderón Silvia Lorena,Unidad por el Cambio,116,CREO - SUMA,CREO,12 de diciembre de 2018,14 de mayo de 2021
Vera Flores Wendy Vanessa,Revolución Ciudadana,64,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Yépez Martínez Héctor José,Sin bancada,137,CREO - SUMA,Ind.,14 de mayo de 2017,14 de mayo de 2021
Zambrano Alcívar Magda Xiomara,Cambio Positivo,72,PSC - MG,PSC,12 de diciembre de 2018,14 de mayo de 2021
Chalá Cruz José Franklin,Revolución Ciudadana,22,PAIS - PSE,FCS,14 de mayo de 2017,14 de mayo de 2021
García Pozo Diego Oswaldo,Revolución Ciudadana,33,PAIS - PSE,FCS,14 de mayo de 2017,14 de mayo de 2021
Salgado Andrade Silvia Betzabeth,Aliados PAIS,57,PAIS - PSE,PSE,14 de mayo de 2017,14 de mayo de 2021
Simbaña Villarreal Abdón Marcelo,Unidad por el Cambio,133,CREO,CREO,14 de mayo de 2017,14 de mayo de 2021
Arias Fernández Verónica Elizabeth,Revolución Ciudadana,4,PAIS - ARE,PAIS,14 de mayo de 2017,14 de mayo de 2021
Auquilla Ortega Raúl Vicente,Cambio Positivo,73,CREO - SUMA,PSC,14 de mayo de 2017,14 de mayo de 2021
Bustamante Monteros Rubén Alejandro,PAIS,12,PAIS - ARE,PAIS,14 de mayo de 2017,14 de mayo de 2021
Cruz Vaca Jeannine del Cisne,Unidad por el Cambio,92,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Arregui Rueda Marcia Cecilia,PAIS,6,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Bustamante García Juan Francisco,PAIS,47,PAIS,PAIS,20 de diciembre de 2018,14 de mayo de 2021
Chávez Bajaña Kharla Del Rocío,Sin bancada,23,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Litardo Caicedo César Ernesto,PAIS,38,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Mendoza Palma Joffre Patricio,Sin Bancada,115,CREO - SUMA,Ind.,14 de mayo de 2017,18 de diciembre de 2018
Palacios Velásquez Sonia Lucrecia,PAIS,47,PAIS,PAIS,14 de mayo de 2017,20 de diciembre de 2018
Saltos Moreira Diana Gabriela,Unidad por el Cambio,115,CREO - SUMA,CREO,18 de diciembre de 2018,14 de mayo de 2021
Terán Salcedo Ramón Fortunato,Cambio Positivo,112,PSC,PSC,14 de mayo de 2017,14 de mayo de 2021
Arteaga Muñoz Karina Cecilia,Sin bancada,7,PAIS - Unidad Primero,Ind.,14 de mayo de 2017,14 de mayo de 2021
Benavides Zambrano Zoila Teresa,PAIS,8,PAIS - Unidad Primero,PAIS,14 de mayo de 2017,14 de mayo de 2021
Bergmann Reyna Carlos Alberto,Aliados PAIS,9,PAIS - Unidad Primero,PAIS,14 de mayo de 2017,14 de mayo de 2021
Cadena Vélez Karla Gabriela,Sin Bancada,14,PAIS - Unidad Primero,Ind.,14 de mayo de 2017,14 de mayo de 2021
Colamarco Vera Pinuccia Magaly,Sin bancada,42,PAIS - Unidad Primero,Ind.,1 de julio de 2020,14 de mayo de 2021
Macías Ortega Wendy Elena Marisol,Aliados PAIS,70,PAIS - Unidad Primero,Unidad Primero,21 de diciembre de 2018,14 de mayo de 2021
Mendoza Arévalo Daniel Isaac,Aliados PAIS,42,PAIS - Unidad Primero,PAIS,14 de mayo de 2017,1 de julio de 2020
Quijije Delgado Luis Rafael,Sin Bancada,52,PAIS - Unidad Primero,Ind.,14 de mayo de 2017,14 de mayo de 2021
Vera Mendoza Tanlly Janela,Unidad por el Cambio,135,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Zambrano Arteaga José Ricardo,PAIS,70,PAIS - Unidad Primero,PAIS,14 de mayo de 2017,21 de diciembre de 2018
Zambrano Vera Mariano,Aliados PAIS,106,PAIS - Unidad Primero,Unidad Primero,14 de mayo de 2017,14 de mayo de 2021
Puanchir Payashña Tito Pedro,Integración Nacional,124,MUPP,MUPP,14 de mayo de 2017,14 de mayo de 2021
Velín Cortés Juan Pablo,Bloque de Acción Democrática Independiente,63,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Cerda Miranda Gabriela Pamela,PAIS,21,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Solórzano Sarria César Fausto,Integración Nacional,126,PSP,PSP,14 de mayo de 2017,14 de mayo de 2021
Peñafiel Izquierdo Eddy Colon,Integración Nacional,123,MUPP,MUPP,14 de mayo de 2017,14 de mayo de 2021
Zambrano Chacha Alberto Alexander,Aliados PAIS,84,PAIS - Movimiento del Pueblo,PAIS,14 de mayo de 2017,14 de mayo de 2021
Moreno Guerrero Henry Fredy,Unidad por el Cambio,118,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Tello Benalcázar Raúl Estupiñan,Bloque de Acción Democrática Independiente,121,Unidos por Pastaza,Unidos por Pastaza,14 de mayo de 2017,14 de mayo de 2021
Alemán Mármol Mónica Rocío,Revolución Ciudadana,60,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Buendía Herdoiza María Soledad,Revolución Ciudadana,11,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
